run_dir,alpha,c_upd,candidate_type,stageB_classification,stageB_in_domain_bracket_lo,stageB_in_domain_bracket_hi_or_gateoff,seed,eval_return_end_mean,I_R_full,learned_R_full_0p5,eval_dbar_post,eval_occupied_post_mean,eval_CSR_mean,mean_update_fraction,final_executed_updates_mean,final_energy,final_VarTD,wall_seconds
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed58,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,58,-23.813358,1.3900915318504363,1,0.517587,0.42,0.02,0.003205,1.0,0.44,0.144278,21.15
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed59,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,59,-24.065752,1.2881945229459442,1,0.613349,0.24,0.0,0.003205,1.0,0.44,0.133877,21.15
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed60,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,60,-35.292194,-3.2441670246335064,0,1.181441,0.03,0.0,0.003205,1.0,0.44,0.171083,21.66
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed61,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,61,-24.407141,1.1503682752027502,1,0.613476,0.29,0.0,0.003205,1.0,0.44,0.168705,21.49
runs/stageC_subset_refine_full_32seed/a0p0_c0p58_seed30,0.0,0.580,in_domain,in_domain_bracket_ready,0.500,0.600,30,-25.200226,0.8301824177456811,1,0.67245,0.18,0.0,0.003205,1.0,0.42,0.153091,21.14
runs/stageC_subset_refine_full_32seed/a0p0_c0p58_seed31,0.0,0.580,in_domain,in_domain_bracket_ready,0.500,0.600,31,-28.074459,-0.3302086596752796,0,0.778742,0.17,0.0,0.003205,1.0,0.42,0.163497,21.51
runs/stageC_subset_refine_full_32seed/a0p0_c0p58_seed32,0.0,0.580,in_domain,in_domain_bracket_ready,0.500,0.600,32,-23.693556,1.4384582341522976,1,0.522487,0.38,0.0,0.003205,1.0,0.42,0.18601,21.38
runs/stageC_subset_refine_full_32seed/a0p0_c0p58_seed33,0.0,0.580,in_domain,in_domain_bracket_ready,0.500,0.600,33,-25.313137,0.7845977637031318,1,0.67821,0.22,0.0,0.003205,1.0,0.42,0.163067,21.27
runs/stageC_subset_refine_full_32seed/a0p0_c0p58_seed34,0.0,0.580,in_domain,in_domain_bracket_ready,0.500,0.600,34,-25.095242,0.8725667675433364,1,0.635235,0.26,0.0,0.003205,1.0,0.42,0.170927,21.35
runs/stageC_subset_refine_full_32seed/a0p0_c0p58_seed35,0.0,0.580,in_domain,in_domain_bracket_ready,0.500,0.600,35,-25.02706,0.9000933405249688,1,0.63455,0.29,0.0,0.003205,1.0,0.42,0.156915,21.51
runs/stageC_subset_refine_full_32seed/a0p0_c0p58_seed36,0.0,0.580,in_domain,in_domain_bracket_ready,0.500,0.600,36,-29.639109,-0.9618922772827271,0,0.943182,0.12,0.0,0.003205,1.0,0.42,0.156775,21.4
runs/stageC_subset_refine_full_32seed/a0p0_c0p58_seed37,0.0,0.580,in_domain,in_domain_bracket_ready,0.500,0.600,37,-25.096781,0.8719454393948697,1,0.593634,0.34,0.0,0.003205,1.0,0.42,0.177303,21.35
runs/stageC_subset_refine_full_32seed/a0p0_c0p58_seed38,0.0,0.580,in_domain,in_domain_bracket_ready,0.500,0.600,38,-24.877289,0.96055918725918,1,0.68459,0.19,0.0,0.003205,1.0,0.42,0.151203,21.44
runs/stageC_subset_refine_full_32seed/a0p0_c0p58_seed39,0.0,0.580,in_domain,in_domain_bracket_ready,0.500,0.600,39,-25.976641,0.5167266059253467,1,0.706573,0.25,0.0,0.003205,1.0,0.42,0.131356,21.57
runs/stageC_subset_refine_full_32seed/a0p0_c0p58_seed40,0.0,0.580,in_domain,in_domain_bracket_ready,0.500,0.600,40,-26.17737,0.435687893830805,0,0.702827,0.2,0.0,0.003205,1.0,0.42,0.12813,21.29
runs/stageC_subset_refine_full_32seed/a0p0_c0p58_seed41,0.0,0.580,in_domain,in_domain_bracket_ready,0.500,0.600,41,-26.574673,0.27528793452598144,0,0.66982,0.24,0.0,0.003205,1.0,0.42,0.15924,21.16
